login_id,login_type,login_addr,cdn_addr,comp_ver_low,comp_ver_high
1,1,115.29.247.37:8390,cdn.ssf4g.com/aos,1.3.2,1.3.4
2,1,115.29.247.37:8391,cdn.ssf4g.com/aos,1.3.2,1.3.4
